Model,MAE,RMSE,MAPE (%),R²
XGBoost,4.85,6.51,5.74,0.7456
Prophet,7.85,10.01,9.35,0.3989
ARIMA,9.29,11.33,11.22,0.2301
LSTM,10.33,13.2,11.53,-0.0454
