Model,MAE,RMSE,MAPE (%),R²
XGBoost,56.32,80.53,8.1,0.6024
LSTM,60.95,90.17,8.95,0.5015
Prophet,77.12,97.22,11.63,0.4205
ARIMA,93.54,147.88,12.37,-0.3409
