Model,MAE,RMSE,MAPE (%),R²
XGBoost,9.27,12.53,9.18,0.6645
Prophet,12.82,16.36,12.38,0.4282
LSTM,12.78,17.11,12.51,0.3741
ARIMA,26.33,30.77,27.48,-1.0233
