Model,MAE,RMSE,MAPE (%),R²
XGBoost,18.16,23.9,8.24,0.7466
LSTM,18.77,26.01,8.76,0.6998
Prophet,20.1,26.68,9.09,0.6843
ARIMA,53.55,70.23,22.83,-1.1881
