Model,MAE,RMSE,MAPE (%),R²
XGBoost,24.01,33.78,8.87,0.5923
LSTM,30.32,41.54,11.09,0.3835
Prophet,36.74,46.23,13.86,0.2362
ARIMA,37.94,55.48,13.24,-0.1
